ID,mc_status,type,condition,test_choice,memory_check
1,0,0,A,1,1
2,0,0,A,1,1
3,0,0,A,1,1
4,0,0,A,1,1
5,0,0,A,1,1
6,0,0,B,1,1
7,0,0,B,1,1
8,0,0,B,1,1
9,0,0,B,1,1
10,0,0,B,1,1
11,0,0,C,1,1
12,0,0,C,1,1
13,0,0,C,1,1
14,0,0,C,1,1
15,0,0,C,1,1
16,0,0,D,1,1
17,0,0,D,1,1
18,0,0,D,1,1
19,0,0,D,1,1
20,0,0,D,1,1
21,0,0,A,1,1
22,0,0,A,1,1
23,0,0,A,1,1
24,0,0,B,1,1
25,0,0,B,1,1
26,0,0,B,1,1
27,0,0,C,1,1
28,0,0,C,1,1
29,0,0,C,1,1
30,0,0,D,1,1
31,0,0,D,1,1
32,0,0,D,1,1
33,1,0,A,1,0
34,1,0,A,0,0
35,1,0,A,1,0
36,1,0,A,1,0
37,1,0,A,1,0
38,1,0,B,1,0
39,1,0,B,0,0
40,1,0,B,0,0
41,1,0,B,0,0
42,1,0,B,1,0
43,1,0,C,0,0
44,1,0,C,0,0
45,1,0,C,0,0
46,1,0,C,0,0
47,1,0,C,1,0
48,1,0,D,0,0
49,1,0,D,0,0
50,1,0,D,1,0
51,1,0,D,1,0
52,1,0,D,0,0
53,1,0,A,1,0
54,1,0,A,0,0
55,1,0,A,0,0
56,1,0,B,1,0
57,1,0,B,1,0
58,1,0,B,1,0
59,1,0,C,1,0
60,1,0,C,0,0
61,1,0,C,0,0
62,1,0,D,1,0
63,1,0,D,0,0
64,1,0,D,1,0
65,2,1,A,1,0
66,2,1,D,1,0
67,2,1,D,1,0
68,2,1,A,0,1
69,2,1,B,1,1
70,2,1,D,1,0
71,2,1,A,1,1
72,2,1,A,0,1
73,2,1,B,0,0
74,2,1,B,1,1
75,2,1,C,0,0
76,2,1,C,0,1
77,2,1,D,1,1
78,2,1,C,1,1
79,2,1,A,0,1
80,2,1,D,0,1
81,2,1,D,0,0
82,2,1,B,1,1
83,2,1,C,1,1
84,2,1,C,0,0
85,2,1,A,1,1
86,2,1,A,0,0
87,2,1,B,1,0
88,2,1,A,1,1
89,2,1,C,1,0
90,2,1,D,0,1
91,2,1,B,1,0
92,2,1,B,1,0
93,2,1,B,1,0
94,2,1,C,0,1
95,2,1,C,1,1
96,2,1,B,0,0
97,3,1,C,1,1
98,3,1,D,1,1
99,3,1,C,1,1
100,3,1,C,1,1
101,3,1,C,1,1
102,3,1,D,1,1
103,3,1,D,1,1
104,3,1,D,0,1
105,3,1,B,1,1
106,3,1,B,1,1
107,3,1,B,0,0
108,3,1,A,1,1
109,3,1,A,1,1
110,3,1,B,1,1
111,3,1,D,1,1
112,3,1,D,1,0
113,3,1,A,1,1
114,3,1,C,1,1
115,3,1,A,0,1
116,3,1,A,1,1
117,3,1,A,1,1
118,3,1,C,0,1
119,3,1,D,1,1
120,3,1,A,0,1
121,3,1,B,0,1
122,3,1,D,1,1
123,3,1,C,1,1
124,3,1,B,0,1
125,3,1,C,0,1
126,3,1,B,1,1
127,3,1,D,0,1
128,3,1,A,1,1
