ID,mc_status,condition,test_choice,memory_check
0,0,A,1,1
2,0,A,1,1
3,0,A,1,1
4,0,A,1,1
5,0,A,1,1
6,0,B,1,1
7,0,B,1,1
8,0,B,1,1
9,0,B,1,1
10,0,B,1,1
11,0,C,1,1
12,0,C,1,1
13,0,C,1,1
14,0,C,1,1
15,0,C,1,1
16,0,D,1,1
17,0,D,1,1
18,0,D,1,1
19,0,D,1,1
20,0,D,1,1
21,0,A,1,1
22,0,A,1,1
23,0,A,1,1
24,0,B,1,1
25,0,B,1,1
26,0,B,1,1
27,0,C,1,1
28,0,C,1,1
29,0,C,1,1
30,0,D,1,1
31,0,D,1,1
32,0,D,1,1
33,1,A,1,0
34,1,A,0,0
35,1,A,1,0
36,1,A,1,0
37,1,A,1,0
38,1,B,1,0
39,1,B,0,0
40,1,B,0,0
41,1,B,0,0
42,1,B,1,0
43,1,C,0,0
44,1,C,0,0
45,1,C,0,0
46,1,C,0,0
47,1,C,1,0
48,1,D,0,0
49,1,D,0,0
50,1,D,1,0
51,1,D,1,0
52,1,D,0,0
53,1,A,1,0
54,1,A,0,0
55,1,A,0,0
56,1,B,1,0
57,1,B,1,0
58,1,B,1,0
59,1,C,1,0
60,1,C,0,0
61,1,C,0,0
62,1,D,1,0
63,1,D,0,0
64,1,D,1,0
