ID,mc_status,condition,param_change,test_choice,memory_check
1,0,A,HU,1,1
2,0,A,HU,1,1
3,0,B,HU,1,1
4,0,B,HU,1,1
5,0,C,HU,1,1
6,0,C,HU,1,1
7,0,D,HU,1,1
8,0,D,HU,1,1
9,0,A,WD,1,1
10,0,A,WD,1,1
11,0,B,WD,1,1
12,0,B,WD,1,1
13,0,C,WD,1,1
14,0,C,WD,1,1
15,0,D,WD,1,1
16,0,D,WD,1,1
17,0,A,MM,1,1
18,0,A,MM,1,1
19,0,B,MM,1,1
20,0,B,MM,1,1
21,0,C,MM,1,1
22,0,C,MM,1,1
23,0,D,MM,1,1
24,0,D,MM,1,1
25,1,A,HU,1,1
26,1,A,HU,0,0
27,1,B,HU,1,1
28,1,B,HU,1,1
29,1,C,HU,0,1
30,1,C,HU,0,0
31,1,D,HU,0,1
32,1,D,HU,1,1
33,1,A,WD,1,1
34,1,A,WD,0,1
35,1,B,WD,1,0
36,1,B,WD,0,1
37,1,C,WD,0,0
38,1,C,WD,1,1
39,1,D,WD,1,0
40,1,D,WD,1,0
41,1,A,MM,0,0
42,1,A,MM,1,0
43,1,B,MM,0,0
44,1,B,MM,1,1
45,1,C,MM,1,0
46,1,C,MM,0,1
47,1,D,MM,0,1
48,1,D,MM,0,0
