ID,age,age_cat,sex,condition,effective_object_demonstrated_first,feature_appended_to_correct_object,correct_test_object_location,test_choice,memory_check
1,2,0,F,A,1,1,1,1,0
2,2,0,F,D,0,1,0,1,0
3,2,0,F,D,0,1,0,1,0
4,2.1,0,F,A,1,1,1,0,1
5,2.1,0,F,B,1,0,1,1,1
6,2.12,0,F,D,0,1,1,1,0
7,2.12,0,F,A,1,1,1,1,1
8,2.12,0,M,A,1,1,1,0,1
9,2.12,0,M,B,1,0,1,0,0
10,2.12,0,F,B,1,0,1,1,1
11,2.2,0,M,C,1,0,1,0,0
12,2.3,0,M,C,1,0,1,0,1
13,2.3,0,F,D,0,1,0,1,1
14,2.4,0,M,C,1,0,0,1,1
15,2.4,0,F,A,1,1,1,0,1
16,2.4,0,F,D,0,1,0,0,1
17,2.5,0,M,D,0,1,0,0,0
18,2.5,0,F,B,1,0,1,1,1
19,2.6,0,M,C,1,0,0,1,1
20,2.6,0,M,C,1,0,0,0,0
21,2.6,0,M,A,1,1,1,1,1
22,2.6,0,M,A,1,1,1,0,0
23,2.6,0,M,B,1,0,1,1,0
24,2.6,0,M,A,1,1,1,1,1
25,2.7,0,F,C,1,0,1,1,0
26,2.7,0,F,D,0,1,0,0,1
27,2.8,0,M,B,1,0,1,1,0
28,2.8,0,M,B,1,0,1,1,0
29,2.8,0,F,B,1,0,1,1,0
30,2.9,0,M,C,1,0,1,0,1
31,2.9,0,M,C,1,0,0,1,1
32,2.9,0,M,B,1,0,1,0,0
33,3,1,M,C,1,0,0,1,1
34,3,1,M,D,0,1,0,1,1
35,3,1,M,C,1,0,0,1,1
36,3,1,F,C,1,0,0,1,1
37,3,1,M,C,1,0,0,1,1
38,3.1,1,F,D,0,1,1,0,1
39,3.1,1,F,A,1,1,1,1,1
40,3.1,1,M,A,1,1,1,1,1
41,3.11,1,F,B,1,0,1,1,1
42,3.2,1,F,D,0,1,0,1,1
43,3.2,1,M,A,1,1,1,1,1
44,3.3,1,M,A,1,1,1,0,1
45,3.4,1,F,A,1,1,1,1,1
46,3.4,1,F,A,1,1,1,1,1
47,3.4,1,F,C,1,0,1,0,1
48,3.4,1,F,D,0,1,0,1,1
49,3.5,1,M,A,1,1,1,0,1
50,3.5,1,M,B,1,0,1,1,1
51,3.6,1,F,B,1,0,1,0,1
52,3.7,1,F,D,0,1,1,1,1
53,3.7,1,F,C,1,0,0,1,1
54,3.7,1,F,B,1,0,1,0,1
55,3.8,1,F,C,1,0,0,0,1
56,3.8,1,M,B,1,0,1,1,1
57,3.9,1,F,D,0,1,0,0,1
58,3.9,1,M,A,1,1,1,1,1
59,3.1,1,F,D,0,1,1,1,1
60,3.1,1,M,D,0,1,1,1,1
61,3.1,1,F,B,1,0,1,1,1
62,3.1,1,F,B,1,0,1,1,1
63,3.1,1,F,B,1,0,1,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
